query,source,author,title,description,content,url,published_at
artificial intelligence,The New York Times,By Claire Moses and Victor Mather,"All Trick, No Treat: Dublin Crowds Turn Up for Halloween Parade That Wasn’t","The scariest thing this Halloween? In one city, it was the power of a phony online event listing.","The scariest thing this Halloween? In one city, it was the power of a phony online event listing.",https://www.nytimes.com/2024/11/01/world/europe/fake-halloween-parade-dublin.html,2024-11-01T19:06:10Z
artificial intelligence,The New York Times,By Matthew Cullen,"With Days to Go, Trump Courts Apolitical Young Men","Also, the U.S. fears Ukraine has entered a grim phase. Here’s the latest at the end of Friday.","Also, the U.S. fears Ukraine has entered a grim phase. Here’s the latest at the end of Friday.",https://www.nytimes.com/2024/11/01/briefing/final-weekend-campaign-us-ukraine-russia.html,2024-11-01T21:05:36Z
artificial intelligence,The New York Times,By Kashmir Hill and Hang Do Thi Duc,I Took a ‘Decision Holiday’ and Put A.I. in Charge of My Life,"I thought it would make me put glue on pizza, but instead it entertained my children and got me to finally paint my office. How could it transform our daily lives?","I thought it would make me put glue on pizza, but instead it entertained my children and got me to finally paint my office. How could it transform our daily lives?",https://www.nytimes.com/interactive/2024/11/01/technology/generative-ai-decisions-experiment.html,2024-11-01T22:07:32Z
artificial intelligence,The New York Times,By Kate Conger,Nvidia Will Replace Intel in the Dow Jones Stock Index,"The change, starting next Friday, lifts a dominant player in artificial intelligence over its chip-making rival, which has struggled to keep up.","The change, starting next Friday, lifts a dominant player in artificial intelligence over its chip-making rival, which has struggled to keep up.",https://www.nytimes.com/2024/11/01/technology/nvidia-intel-dow-jones-index.html,2024-11-01T23:30:34Z
artificial intelligence,The New York Times,By Sarah Kessler,Kay Koplovitz Wants to See More Entrepreneurs Who Look Like Her,"Once the most powerful woman in television, the founder of Springboard has spent the past 20 years identifying and funding female-led start-ups.","Once the most powerful woman in television, the founder of Springboard has spent the past 20 years identifying and funding female-led start-ups.",https://www.nytimes.com/2024/11/02/business/kay-koplovitz-springboard-usa-networks.html,2024-11-02T09:00:06Z
artificial intelligence,The New York Times,By Ryan Maue,Republicans Would Regret Letting Elon Musk Ax Weather Forecasting,Everyone benefits from government weather forecasting. Republicans have the chance to make it better.,Everyone benefits from government weather forecasting. Republicans have the chance to make it better.,https://www.nytimes.com/2024/12/01/opinion/doge-musk-ramaswamy-noaa.html,2024-12-01T11:00:09Z
artificial intelligence,The New York Times,,When A.I. and Doctors Make the Diagnosis,Readers discuss artificial intelligence in medicine. Also: Toxins in water; breasts on billboards; the $6.2 million banana; a deportation question.,Readers discuss artificial intelligence in medicine. Also: Toxins in water; breasts on billboards; the $6.2 million banana; a deportation question.,https://www.nytimes.com/2024/12/01/opinion/ai-doctors-diagnosis.html,2024-12-01T16:00:05Z
artificial intelligence,The New York Times,By Jennifer Schuessler,Oxford’s 2024 Word of the Year Is…,"A slang term for supposed mental damage done by overconsumption of trivial online content triumphed over a shortlist that also included “lore,” “demure” and “slop.”","A slang term for supposed mental damage done by overconsumption of trivial online content triumphed over a shortlist that also included “lore,” “demure” and “slop.”",https://www.nytimes.com/2024/12/01/arts/brain-rot-oxford-word.html,2024-12-01T22:00:05Z
artificial intelligence,The New York Times,By Ana Swanson,Biden Targets China’s Chip Industry With Wider Trade Bans,"New rules significantly expand restrictions on selling China chip technology, but critics say they also contain carve-outs that are favorable to industry.","New rules significantly expand restrictions on selling China chip technology, but critics say they also contain carve-outs that are favorable to industry.",https://www.nytimes.com/2024/12/02/business/economy/biden-china-chips-exports.html,2024-12-02T10:02:50Z
artificial intelligence,The New York Times,"By Andrew Ross Sorkin, Ravi Mattu, Bernhard Warner, Sarah Kessler, Michael J. de la Merced and Lauren Hirsch",Will Trump’s Dollar Diplomacy Roil Global Trade?,"The President-elect is demanding the so-called BRICS countries pledge fealty to the greenback, or risk a new wave of tariffs.","The President-elect is demanding the so-called BRICS countries pledge fealty to the greenback, or risk a new wave of tariffs.",https://www.nytimes.com/2024/12/02/business/dealbook/trump-dollar-diplomacy.html,2024-12-02T12:58:12Z
artificial intelligence,The New York Times,"By Don Clark, Tripp Mickle and Steve Lohr",Intel’s Chief Executive Is Out Amid Chipmaker’s Struggles,"Pat Gelsinger stepped down after nearly four years at the helm of the onetime highflying company, Intel said Monday.","Pat Gelsinger stepped down after nearly four years at the helm of the onetime highflying company, Intel said Monday.",https://www.nytimes.com/2024/12/02/technology/intel-ceo-pat-gelsinger.html,2024-12-02T14:33:16Z
artificial intelligence,The New York Times,By Steven Kurutz,A Question No One Was Asking: What if Elon Musk Was on the Bulls?,"Scottie Pippen, a basketball star turned crypto fanatic, posted about how many championships Chicago would have won with Mr. Musk. The answers weren’t kind.","Scottie Pippen, a basketball star turned crypto fanatic, posted about how many championships Chicago would have won with Mr. Musk. The answers weren’t kind.",https://www.nytimes.com/2024/12/02/style/scottie-pippen-elon-musk-bulls.html,2024-12-02T22:02:11Z
artificial intelligence,The New York Times,By David McCabe and Nico Grant,What’s Next for Google’s Search Monopoly,The federal judge who ruled Google was a monopolist in search is weighing the U.S. government’s proposal to force the company to sell its Chrome browser. Here’s what happens now.,The federal judge who ruled Google was a monopolist in search is weighing the U.S. government’s proposal to force the company to sell its Chrome browser. Here’s what happens now.,https://www.nytimes.com/2024/12/03/technology/google-search-antitrust-judge.html,2024-12-03T08:00:10Z
artificial intelligence,The New York Times,By Nico Grant,Google Worried Israeli Contract Could Enable Human Rights Violations,"The tech giant, which has defended the deal to employees who oppose supplying Israel’s military with technology, feared the project might damage its reputation.","The tech giant, which has defended the deal to employees who oppose supplying Israel’s military with technology, feared the project might damage its reputation.",https://www.nytimes.com/2024/12/03/technology/google-israel-contract-project-nimbus.html,2024-12-03T10:00:14Z
artificial intelligence,The New York Times,"By Andrew Ross Sorkin, Ravi Mattu, Bernhard Warner, Sarah Kessler, Michael J. de la Merced and Lauren Hirsch",Will Elon Musk Ever Collect His Full Tesla Pay Package?,The electric vehicle maker vowed to appeal after a Delaware judge rejected the tech mogul’s massive compensation deal for a second time.,The electric vehicle maker vowed to appeal after a Delaware judge rejected the tech mogul’s massive compensation deal for a second time.,https://www.nytimes.com/2024/12/03/business/dealbook/musk-tesla-pay-delaware.html,2024-12-03T12:42:37Z
deepfake,The New York Times,By Rick Rojas,"In 2024, Expect New Debates on A.I., Gender and Guns",Some of the most contentious issues in the country will dominate the agendas of state legislatures returning to work in the coming days and weeks.,Some of the most contentious issues in the country will dominate the agendas of state legislatures returning to work in the coming days and weeks.,https://www.nytimes.com/2024/01/02/us/state-legislatures-2024.html,2024-01-02T08:00:11Z
deepfake,The New York Times,By Tiffany Hsu and Yiwen Lu,"No, That’s Not Taylor Swift Peddling Le Creuset Cookware","The singer did not promote a giveaway of the popular cookware, but an artificially generated version of her voice suggested otherwise.","The singer did not promote a giveaway of the popular cookware, but an artificially generated version of her voice suggested otherwise.",https://www.nytimes.com/2024/01/09/technology/taylor-swift-le-creuset-ai-deepfake.html,2024-01-09T08:00:27Z
deepfake,The New York Times,By Nicholas Kristof,When Democracy Is a Threat,"In its coming elections, Taiwan is voting in China’s shadow.","In its coming elections, Taiwan is voting in China’s shadow.",https://www.nytimes.com/2024/01/10/opinion/taiwan-elections-china.html,2024-01-11T00:00:11Z
deepfake,The New York Times,By David W. Chen,"State Legislators, Wary of Deceptive Election Ads, Tighten A.I. Rules",Sophisticated political deepfakes have warped elections overseas. Can U.S. legislators act fast enough to make A.I. campaign ads more transparent?,Sophisticated political deepfakes have warped elections overseas. Can U.S. legislators act fast enough to make A.I. campaign ads more transparent?,https://www.nytimes.com/2024/01/11/us/ai-election-ads-state-legislators.html,2024-01-11T10:00:39Z
deepfake,The New York Times,"By Kevin Roose, Casey Newton, David Yaffe-Bellany, Davis Land, Rachel Cohn, Jen Poyant, Alyssa Moxley, Elisheba Ittoop, Marion Lozano, Rowan Niemisto and Dan Powell","The A.I. Election, Bitcoin’s Wall Street Debut and TikTok’s Doodad Era",“Two truly terrible ways to make money this week.”,“Two truly terrible ways to make money this week.”,https://www.nytimes.com/2024/01/19/podcasts/ai-elections-bitcoin-tiktok.html,2024-01-19T10:02:26Z
deepfake,The New York Times,By Tiffany Hsu,New Hampshire Officials to Investigate A.I. Robocalls Mimicking Biden,"The calls, in a voice most likely artificially generated, urged people not to vote in Tuesday’s primary.","The calls, in a voice most likely artificially generated, urged people not to vote in Tuesday’s primary.",https://www.nytimes.com/2024/01/22/business/media/biden-robocall-ai-new-hampshire.html,2024-01-22T20:04:06Z
deepfake,The New York Times,By Lisa Lerer,Reading the Signs in New Hampshire,This street corner tells the tale of the Republican primary.,This street corner tells the tale of the Republican primary.,https://www.nytimes.com/2024/01/22/us/politics/new-hampshire-primary-yard-signs.html,2024-01-22T22:38:12Z
deepfake,The New York Times,By Kate Conger and John Yoon,Explicit Deepfake Images of Taylor Swift Elude Safeguards and Swamp Social Media,"Fans of the star and lawmakers condemned the images, probably generated by artificial intelligence, after they were shared with millions of social media users.","Fans of the star and lawmakers condemned the images, probably generated by artificial intelligence, after they were shared with millions of social media users.",https://www.nytimes.com/2024/01/26/arts/music/taylor-swift-ai-fake-images.html,2024-01-26T06:08:15Z
deepfake,The New York Times,"By Kevin Roose, Casey Newton, Davis Land, Rachel Cohn, Kate LoPresti, Jen Poyant, Dan Powell, Elisheba Ittoop, Marion Lozano and Corey Schreppel","Mediapocalypse Now, a16z’s Chris Dixon Defends Crypto, and HatGPT",Strangely a lot of pro wrestling in this episode.,Strangely a lot of pro wrestling in this episode.,https://www.nytimes.com/2024/01/26/podcasts/hard-fork-ai-news-media-a16z-chris-dixon.html,2024-01-26T10:01:44Z
deepfake,The New York Times,By New York Times Audio,"U.N. Court Declines to Order Cease-Fire, and Trump Takes the Stand","Plus, alarming Taylor Swift deepfakes.","Plus, alarming Taylor Swift deepfakes.",https://www.nytimes.com/2024/01/26/podcasts/israel-gaza-hostages-trump.html,2024-01-26T11:02:57Z
deepfake,The New York Times,"By Kevin Roose, Casey Newton, Davis Land, Rachel Cohn, Dan Powell, Rowan Niemisto, Paula Szuchman and Chris Wood",We Tried the Apple Vision Pro + Can Congress Protect Kids Online? + Cruise’s Crash,Introducing DJ TaskRabbit.,Introducing DJ TaskRabbit.,https://www.nytimes.com/2024/02/02/podcasts/hard-fork-vision-pro-senate-hearing-cruise.html,2024-02-02T10:03:43Z
deepfake,The New York Times,By Tiffany Hsu,"Fake and Explicit Images of Taylor Swift Started on 4chan, Study Says","The people on 4chan who created the images of Ms. Swift thought of it as a sort of game, the researchers said.","The people on 4chan who created the images of Ms. Swift thought of it as a sort of game, the researchers said.",https://www.nytimes.com/2024/02/05/business/media/taylor-swift-ai-fake-images.html,2024-02-05T11:00:17Z
deepfake,The New York Times,"By Kevin Roose, Casey Newton, Davis Land, Rachel Cohn, Alyssa Moxley, Dan Powell, Elisheba Ittoop, Marion Lozano, Rowan Niemisto and Paula Szuchman","Bluesky’s Big Bet, and Are Deals Dead in Silicon Valley?","Plus, more ancient scrolls deciphered using artificial intelligence, Google’s chatbot updates, and a fight between record labels and TikTok.","Plus, more ancient scrolls deciphered using artificial intelligence, Google’s chatbot updates, and a fight between record labels and TikTok.",https://www.nytimes.com/2024/02/09/podcasts/hard-fork-bluesky-figma.html,2024-02-09T10:03:44Z
deepfake,The New York Times,By Yan Zhuang,Imran Khan’s ‘Victory Speech’ From Jail Shows A.I.’s Peril and Promise,"It was not the first time the technology had been used in Pakistan’s notably repressive election season, but this time it got the world’s attention.","It was not the first time the technology had been used in Pakistan’s notably repressive election season, but this time it got the world’s attention.",https://www.nytimes.com/2024/02/11/world/asia/imran-khan-artificial-intelligence-pakistan.html,2024-02-11T11:50:10Z
deepfake,The New York Times,By Aatish Taseer,Why We’re Living in an Age of Twins,"Mirroring, mimicking and doubling are everywhere these days. What does this say about our collective sense of identity?","Mirroring, mimicking and doubling are everywhere these days. What does this say about our collective sense of identity?",https://www.nytimes.com/2024/02/12/t-magazine/twins-doubles-identity.html,2024-02-12T10:00:50Z
deepfake,The New York Times,By Travis Diehl,A.I. Art That’s More Than a Gimmick? Meet AARON,The British painter Harold Cohen spent over four decades refining his collaborator: an image-generating robot.,The British painter Harold Cohen spent over four decades refining his collaborator: an image-generating robot.,https://www.nytimes.com/2024/02/15/arts/design/aaron-ai-whitney.html,2024-02-15T10:02:13Z
deepfake,The New York Times,By Jessica Grose,A.I. Is Making the Sexual Exploitation of Girls Even Worse,"Parents, schools and our laws need to catch up to technology, fast.","Parents, schools and our laws need to catch up to technology, fast.",https://www.nytimes.com/2024/03/02/opinion/deepfakes-teenagers.html,2024-03-02T13:00:03Z
deepfake,The New York Times,"By Andrew Ross Sorkin, Ravi Mattu, Bernhard Warner, Sarah Kessler, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",Inflation Fears Stalk Presidential Politics and the Markets,"Lawmakers on Capitol Hill are set to grill Jay Powell, the Fed chair, about interest rates and the economy, topics that are top of mind for voters and investors alike.","Lawmakers on Capitol Hill are set to grill Jay Powell, the Fed chair, about interest rates and the economy, topics that are top of mind for voters and investors alike.",https://www.nytimes.com/2024/03/06/business/dealbook/inflation-biden-trump-elections-markets.html,2024-03-06T13:13:59Z
deepfake,The New York Times,By Caitlin Lovinger,Took the Lead?,Carly Schuna’s Saturday debut gets the day started off right.,Carly Schuna’s Saturday debut gets the day started off right.,https://www.nytimes.com/2024/03/15/crosswords/daily-puzzle-2024-03-16.html,2024-03-16T02:00:07Z
deepfake,The New York Times,By Sean T. Collins,‘3 Body Problem’ Episode 2 Recap: The Warning,Fans of spooky technology will have much to enjoy in this episode.,Fans of spooky technology will have much to enjoy in this episode.,https://www.nytimes.com/2024/03/21/arts/television/3-body-problem-episode-2-recap.html,2024-03-21T14:00:06Z
deepfake,The New York Times,By Nicholas Kristof,The Online Degradation of Women and Girls That We Meet With a Shrug,It astonishes me that society apparently believes that women and girls should accept becoming the subject of demeaning imagery.,It astonishes me that society apparently believes that women and girls should accept becoming the subject of demeaning imagery.,https://www.nytimes.com/2024/03/23/opinion/deepfake-sex-videos.html,2024-03-23T11:00:08Z
deepfake,The New York Times,By Jessica Bennett,The Internet Should Feel Shame Over Kate Middleton,Her cancer diagnosis is an embarrassment to the global conspiracy industry.,Her cancer diagnosis is an embarrassment to the global conspiracy industry.,https://www.nytimes.com/live/2024/03/19/opinion/thepoint/kate-cancer-conspiracies,2024-03-23T11:00:23Z
deepfake,The New York Times,By Sean T. Collins,‘3 Body Problem’ Season Finale Recap: Absolute Power,"The show’s first season ended with unwanted appointments, buzzing cicadas and flying brains.","The show’s first season ended with unwanted appointments, buzzing cicadas and flying brains.",https://www.nytimes.com/2024/03/23/arts/television/3-body-problem-season-finale-recap.html,2024-03-23T17:38:17Z
deepfake,The New York Times,By David Leonhardt,A New Game From The Times,It’s a word search with a few twists.,It’s a word search with a few twists.,https://www.nytimes.com/2024/03/24/briefing/strands-nyt-games.html,2024-03-24T11:41:48Z
deepfake,The New York Times,By Nicholas Kristof and Patrick Healy,What Most Surprised Us About the Outbreak of Deepfake Porn,We’ve effectively armed predators and exploitative companies with artificial intelligence but denied victims any defense.,We’ve effectively armed predators and exploitative companies with artificial intelligence but denied victims any defense.,https://www.nytimes.com/live/2024/03/26/opinion/thepoint/deepfake-porn,2024-03-26T09:02:43Z
deepfake,The New York Times,By Tiffany Hsu and Steven Lee Myers,The Islamic State Claimed the Moscow Attack. The Kremlin Is Still Blaming Others.,Russian narratives served to deflect attention from the failure to prevent the deadly attack while rallying the country behind the war in Ukraine.,Russian narratives served to deflect attention from the failure to prevent the deadly attack while rallying the country behind the war in Ukraine.,https://www.nytimes.com/2024/03/26/business/media/moscow-attack-narratives.html,2024-03-26T21:42:21Z
deepfake,The New York Times,By Cade Metz and Tiffany Hsu,An A.I. Researcher Takes On Election Deepfakes,"Oren Etzioni was once an optimist about artificial intelligence. Now, his nonprofit, TrueMedia.org, is offering tools for fighting A.I.-manipulated content.","Oren Etzioni was once an optimist about artificial intelligence. Now, his nonprofit, TrueMedia.org, is offering tools for fighting A.I.-manipulated content.",https://www.nytimes.com/2024/04/02/technology/an-ai-researcher-takes-on-election-deepfakes.html,2024-04-02T16:00:12Z
deepfake,The New York Times,By Isabella Kwai,How an Editors’ Note Fueled Another Kate Conspiracy Theory,A routine Getty Images caption beside the Princess of Wales’s cancer announcement has fanned disinformation about her. Researchers say there is no evidence that the video is fake.,A routine Getty Images caption beside the Princess of Wales’s cancer announcement has fanned disinformation about her. Researchers say there is no evidence that the video is fake.,https://www.nytimes.com/2024/04/04/world/europe/kate-middleton-video-getty-conspiracy.html,2024-04-04T16:27:15Z
deepfake,The New York Times,By Nicholas Kristof and Jillian Weinberger,Deepfake Porn Sites Used Her Image. She’s Fighting Back.,Nicholas Kristof on why tech companies aren’t powerless over the spread of deepfake porn.,Nicholas Kristof on why tech companies aren’t powerless over the spread of deepfake porn.,https://www.nytimes.com/2024/04/08/opinion/deepfake-porn-tech.html,2024-04-08T09:04:05Z
deepfake,The New York Times,By Natasha Singer,Teen Girls Confront an Epidemic of Deepfake Nudes in Schools,"Using artificial intelligence, middle and high school students have fabricated explicit images of female classmates and shared the doctored pictures.","Using artificial intelligence, middle and high school students have fabricated explicit images of female classmates and shared the doctored pictures.",https://www.nytimes.com/2024/04/08/technology/deepfake-ai-nudes-westfield-high-school.html,2024-04-08T15:45:30Z
deepfake,The New York Times,By Matthew Cullen,The Eclipse Brought Darkness and Fascination,"Also, Donald Trump said abortion limits should be decided by states. Here’s the latest at the end of Monday.","Also, Donald Trump said abortion limits should be decided by states. Here’s the latest at the end of Monday.",https://www.nytimes.com/2024/04/08/briefing/total-solar-eclipse-biden-student-debt.html,2024-04-08T22:01:01Z
deepfake,The New York Times,"By Tracy Mumford, Ben Protess, Natasha Singer, Ian Stewart, Jessica Metzger and James Shield","Trump’s Calculus on Abortion, and Iran’s Secret Smuggling Network","Plus, the fight against “deepnudes.”","Plus, the fight against “deepnudes.”",https://www.nytimes.com/2024/04/09/podcasts/trump-abortion-deepnudes-schools.html,2024-04-09T10:01:37Z
deepfake,The New York Times,By Calum Marsh,A.I. Made These Movies Sharper. Critics Say It Ruined Them.,Machine-learning technologies are being used in film restoration for new home video releases. But some viewers strongly dislike the results.,Machine-learning technologies are being used in film restoration for new home video releases. But some viewers strongly dislike the results.,https://www.nytimes.com/2024/04/13/movies/ai-blu-ray-true-lies.html,2024-04-13T09:02:20Z
deepfake,The New York Times,"By Lauren Hirsch, Sarah Kessler and Bernhard Warner",Golf’s Big Deal Veers Off Course,"The Masters tournament should be all about sport, but the unresolved fight between the PGA Tour and LIV Golf looms over the competition.","The Masters tournament should be all about sport, but the unresolved fight between the PGA Tour and LIV Golf looms over the competition.",https://www.nytimes.com/2024/04/13/business/dealbook/pga-liv-golf-masters.html,2024-04-13T11:54:19Z
deepfake,The New York Times,By Suhasini Raj,How A.I. Tools Could Change India’s Elections,"Avatars are addressing voters by name, in whichever of India’s many languages they speak. Experts see potential for misuse in a country already rife with disinformation.","Avatars are addressing voters by name, in whichever of India’s many languages they speak. Experts see potential for misuse in a country already rife with disinformation.",https://www.nytimes.com/2024/04/18/world/asia/india-election-ai.html,2024-04-18T04:01:05Z
deepfake,The New York Times,"By Ashwin Seshagiri, Mike Dang, Anemona Hartocollis, Kashmir Hill, Becky Hughes, Santul Nerkar, Jordyn Holman, Michael M. Grynbaum, Ellen Barry, Vanessa Friedman, Dana G. Smith, Amanda Hess, Natasha Singer, David E. Sanger, Ben Sisario, Tiffany Hsu, Sapna Maheshwari and Brooks Barnes","Love, Hate or Fear It: TikTok Has Changed America",Nineteen ways the app rewired our culture.,Nineteen ways the app rewired our culture.,https://www.nytimes.com/interactive/2024/04/18/business/media/tiktok-ban-american-culture.html,2024-04-19T01:32:11Z
deepfake,The New York Times,"By Kevin Roose, Casey Newton, Rachel Cohn, Whitney Jones, Jen Poyant, Alyssa Moxley, Dan Powell, Elisheba Ittoop and Rowan Niemisto",A.I. at Your Jobs + Hank Green Talks TikTok + Deepfake High School,"A synthetic chief executive, a bot trained on employees’ personalities, and a regular duel with ChatGPT — our listeners brought us their stories.","A synthetic chief executive, a bot trained on employees’ personalities, and a regular duel with ChatGPT — our listeners brought us their stories.",https://www.nytimes.com/2024/05/03/podcasts/hard-fork-work-hank-green-deepfake.html,2024-05-03T09:06:38Z
deepfake,The New York Times,By Cade Metz and Tiffany Hsu,OpenAI Releases ‘Deepfake’ Detector to Disinformation Researchers,The prominent A.I. start-up is also joining an industrywide effort to spot content made with artificial intelligence.,The prominent A.I. start-up is also joining an industrywide effort to spot content made with artificial intelligence.,https://www.nytimes.com/2024/05/07/technology/openai-deepfake-detector.html,2024-05-07T10:00:10Z
deepfake,The New York Times,By Cecilia Kang and David McCabe,Senators Propose $32 Billion in Annual A.I. Spending but Defer Regulation,Their plan is the culmination of a yearlong listening tour on the dangers of the new technology.,Their plan is the culmination of a yearlong listening tour on the dangers of the new technology.,https://www.nytimes.com/2024/05/15/technology/ai-schumer-roadmap-congress.html,2024-05-15T09:00:06Z
deepfake,The New York Times,By Kyle Buchanan,The Hard Road to ‘Furiosa’ Was Filled With Detours,"For George Miller, Anya Taylor-Joy and their crew, a series of natural disasters made for an arduous production.","For George Miller, Anya Taylor-Joy and their crew, a series of natural disasters made for an arduous production.",https://www.nytimes.com/2024/05/16/movies/furiosa-george-miller-anya-taylor-joy.html,2024-05-16T09:06:54Z
deepfake,The New York Times,By Vivian Wang and Siyi Zhao,This ‘Russian Woman’ Loves China. Too Bad She’s a Deepfake.,"A.I.-manipulated videos on Chinese sites use young, supposedly Russian women to promote China-Russia ties, stoke patriotism — and make money.","A.I.-manipulated videos on Chinese sites use young, supposedly Russian women to promote China-Russia ties, stoke patriotism — and make money.",https://www.nytimes.com/2024/05/20/world/asia/china-russia-deepfake.html,2024-05-20T05:03:29Z
deepfake,The New York Times,By David Leonhardt,The Rise of a New Centrism,"In Washington, despite polarization, bipartisanship has somehow become normal.","In Washington, despite polarization, bipartisanship has somehow become normal.",https://www.nytimes.com/2024/05/20/briefing/bipartisanship-congress-neopopulism.html,2024-05-20T10:41:19Z
deepfake,The New York Times,By Amelia Nierenberg,Tuesday Briefing: What’s Next for Iran,"Also, an international prosecutor’s request for arrest warrants for leaders of Israel and Hamas.","Also, an international prosecutor’s request for arrest warrants for leaders of Israel and Hamas.",https://www.nytimes.com/2024/05/20/world/asia/iran-raisi-icc-israel-hamas-asia.html,2024-05-20T20:54:19Z
deepfake,The New York Times,,Scarlett Johansson’s Statement About Her Interactions With Sam Altman,The actress released a lengthy statement about the company and the similarity of one of its A.I. voices.,The actress released a lengthy statement about the company and the similarity of one of its A.I. voices.,https://www.nytimes.com/2024/05/20/technology/scarlett-johansson-openai-statement.html,2024-05-21T00:11:58Z
deepfake,The New York Times,"By Andrew Ross Sorkin, Ravi Mattu, Bernhard Warner, Sarah Kessler, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",Scarlett Johansson and OpenAI’s Trust Issues,"The actress, who criticized the use of a soundalike voice for ChatGPT, is the latest to raise concerns about the artificial intelligence start-up’s practices.","The actress, who criticized the use of a soundalike voice for ChatGPT, is the latest to raise concerns about the artificial intelligence start-up’s practices.",https://www.nytimes.com/2024/05/21/business/dealbook/scarlett-johansson-openai-chatgpt.html,2024-05-21T11:59:48Z
deepfake,The New York Times,"By Shane Goldmacher, Tiffany Hsu and Steven Lee Myers",A.I. Promised to Upend the 2024 Campaign. It Hasn’t Yet.,"With less than six months until the 2024 election, the political uses of A.I. are more theoretical than transformational. “This is the dog that didn’t bark,” said one adviser to a Democratic donor.","With less than six months until the 2024 election, the political uses of A.I. are more theoretical than transformational. “This is the dog that didn’t bark,” said one adviser to a Democratic donor.",https://www.nytimes.com/2024/05/23/us/politics/ai-technology-campaigns.html,2024-05-23T09:03:21Z
deepfake,The New York Times,By Alex Travelli,A Small Army Combating a Flood of Deepfakes in India’s Election,"Social media is awash with A.I.-altered audio, clipped video and manipulated images. Fact-checkers want to save the public from deception.","Social media is awash with A.I.-altered audio, clipped video and manipulated images. Fact-checkers want to save the public from deception.",https://www.nytimes.com/2024/06/01/world/asia/india-election-deepfakes.html,2024-06-01T04:01:09Z
deepfake,The New York Times,By Tiffany Hsu,‘Convergence of Anger’ Drives Disinformation Around E.U. Elections,"False narratives and conspiracy theories about climate change, immigration and Ukraine are spreading via politicians and foreign operatives.","False narratives and conspiracy theories about climate change, immigration and Ukraine are spreading via politicians and foreign operatives.",https://www.nytimes.com/2024/06/07/business/media/eu-elections-disinformation.html,2024-06-07T09:05:12Z
deepfake,The New York Times,"By Sabrina Tavernise, Natasha Singer, Sydney Harper, Shannon M. Lin, Marc Georges, Marion Lozano, Elisheba Ittoop, Dan Powell and Chris Wood","Real Teenagers, Fake Nudes: The Rise of Deepfakes in American Schools",Students are using artificial intelligence to create sexually explicit images of their  classmates.,Students are using artificial intelligence to create sexually explicit images of their  classmates.,https://www.nytimes.com/2024/06/07/podcasts/the-daily/deepfake-nudes.html,2024-06-07T10:00:13Z
deepfake,The New York Times,By Theodore Schleifer and Heather Knight,Trump makes rare visit to San Francisco to court the conservative elite.,"At a fund-raiser hosted by David Sacks, the former president regaled wealthy Silicon Valley entrepreneurs and denounced the city as unsafe.","At a fund-raiser hosted by David Sacks, the former president regaled wealthy Silicon Valley entrepreneurs and denounced the city as unsafe.",https://www.nytimes.com/live/2024/06/07/us/trump-biden-election/trump-makes-rare-visit-to-san-francisco-to-court-the-conservative-elite,2024-06-07T14:30:03Z
deepfake,The New York Times,By The Learning Network,"Summer Reading Contest, Week 2: What Got Your Attention in The Times This Week?","To participate, submit your response here by June 21 at 9 a.m. Eastern. This week’s winners will be announced by July 3.","To participate, submit your response here by June 21 at 9 a.m. Eastern. This week’s winners will be announced by July 3.",https://www.nytimes.com/2024/06/14/learning/summer-reading-contest-week-2-what-got-your-attention-in-the-times-this-week.html,2024-06-14T12:58:49Z
deepfake,The New York Times,By Valerie Hopkins and Nanna Heitmann,Blast Shelters and Radar Jamming: A Russian City Adapts to War,"While in Moscow the fighting feels far away, residents of Belgorod, 25 miles from the border with Ukraine, have learned to duck for cover when the sirens wail.","While in Moscow the fighting feels far away, residents of Belgorod, 25 miles from the border with Ukraine, have learned to duck for cover when the sirens wail.",https://www.nytimes.com/2024/06/17/world/europe/belgorod-russia-ukraine-war.html,2024-06-17T09:03:57Z
deepfake,The New York Times,By Stuart A. Thompson,A.I. Is Getting Better Fast. Can You Tell What’s Real Now?,Test your skills in this quiz.,Test your skills in this quiz.,https://www.nytimes.com/interactive/2024/06/24/technology/ai-deepfake-facebook-midjourney-quiz.html,2024-06-24T09:02:12Z
deepfake,The New York Times,By Jason Farago,Age and the Image of Capacity,"President Biden’s toughest opponent may not be his predecessor. It is the cultural meaning, built up through centuries, that we assign to being old.","President Biden’s toughest opponent may not be his predecessor. It is the cultural meaning, built up through centuries, that we assign to being old.",https://www.nytimes.com/2024/06/25/arts/television/biden-trump-election-age.html,2024-06-25T09:05:09Z
deepfake,The New York Times,"By Kevin Roose, Casey Newton, Whitney Jones, Rachel Cohn, Larissa Anderson, Corey Schreppel, Dan Powell, Elisheba Ittoop, Marion Lozano, Sophia Lanman and Rowan Niemisto","Record Labels Sue A.I. Music Generators, Inside the Pentagon’s Tech Upgrade and HatGPT","A little something for everyone: lawsuits, fighter jets and Casey in a bucket hat.","A little something for everyone: lawsuits, fighter jets and Casey in a bucket hat.",https://www.nytimes.com/2024/06/28/podcasts/hardfork-ai-music-lawsuits.html,2024-06-28T09:06:29Z
